Land;Partner;Variable;Einheit;Jahr;Wert;Quelle
AUS;CYP;Inflows of foreign population by nationality;Tsd. Persons;2006;0.015;OECD Migration Database
AUS;CYP;Inflows of foreign population by nationality;Tsd. Persons;2007;0.015;OECD Migration Database
AUS;CYP;Inflows of foreign population by nationality;Tsd. Persons;2008;0.012;OECD Migration Database
AUS;CYP;Inflows of foreign population by nationality;Tsd. Persons;2009;0.008;OECD Migration Database
AUS;CYP;Inflows of foreign population by nationality;Tsd. Persons;2010;0.017;OECD Migration Database
AUS;CYP;Inflows of foreign population by nationality;Tsd. Persons;2011;0.015;OECD Migration Database
AUS;CZE;Inflows of foreign population by nationality;Tsd. Persons;2000;0.084;OECD Migration Database
AUS;CZE;Inflows of foreign population by nationality;Tsd. Persons;2001;0.115;OECD Migration Database
AUS;CZE;Inflows of foreign population by nationality;Tsd. Persons;2002;0.171;OECD Migration Database
AUS;CZE;Inflows of foreign population by nationality;Tsd. Persons;2003;0.126;OECD Migration Database
AUS;CZE;Inflows of foreign population by nationality;Tsd. Persons;2004;0.15;OECD Migration Database
AUS;CZE;Inflows of foreign population by nationality;Tsd. Persons;2005;0.179;OECD Migration Database
AUS;CZE;Inflows of foreign population by nationality;Tsd. Persons;2006;0.206;OECD Migration Database
AUS;CZE;Inflows of foreign population by nationality;Tsd. Persons;2007;0.193;OECD Migration Database
AUS;CZE;Inflows of foreign population by nationality;Tsd. Persons;2008;0.202;OECD Migration Database
AUS;CZE;Inflows of foreign population by nationality;Tsd. Persons;2009;0.188;OECD Migration Database
AUS;CZE;Inflows of foreign population by nationality;Tsd. Persons;2010;0.162;OECD Migration Database
AUS;CZE;Inflows of foreign population by nationality;Tsd. Persons;2011;0.176;OECD Migration Database
AUS;DNK;Inflows of foreign population by nationality;Tsd. Persons;2000;0.119;OECD Migration Database
AUS;DNK;Inflows of foreign population by nationality;Tsd. Persons;2001;0.156;OECD Migration Database
AUS;DNK;Inflows of foreign population by nationality;Tsd. Persons;2002;0.208;OECD Migration Database
AUS;DNK;Inflows of foreign population by nationality;Tsd. Persons;2003;0.15;OECD Migration Database
AUS;DNK;Inflows of foreign population by nationality;Tsd. Persons;2004;0.19;OECD Migration Database
AUS;DNK;Inflows of foreign population by nationality;Tsd. Persons;2005;0.174;OECD Migration Database
AUS;DNK;Inflows of foreign population by nationality;Tsd. Persons;2006;0.179;OECD Migration Database
AUS;DNK;Inflows of foreign population by nationality;Tsd. Persons;2007;0.168;OECD Migration Database
AUS;DNK;Inflows of foreign population by nationality;Tsd. Persons;2008;0.213;OECD Migration Database
AUS;DNK;Inflows of foreign population by nationality;Tsd. Persons;2009;0.161;OECD Migration Database
AUS;DNK;Inflows of foreign population by nationality;Tsd. Persons;2010;0.139;OECD Migration Database
AUS;DNK;Inflows of foreign population by nationality;Tsd. Persons;2011;0.141;OECD Migration Database
AUS;EST;Inflows of foreign population by nationality;Tsd. Persons;2000;0.011;OECD Migration Database
AUS;EST;Inflows of foreign population by nationality;Tsd. Persons;2001;0.011;OECD Migration Database
AUS;EST;Inflows of foreign population by nationality;Tsd. Persons;2002;0.022;OECD Migration Database
AUS;EST;Inflows of foreign population by nationality;Tsd. Persons;2003;0.021;OECD Migration Database
AUS;EST;Inflows of foreign population by nationality;Tsd. Persons;2004;0.017;OECD Migration Database
AUS;EST;Inflows of foreign population by nationality;Tsd. Persons;2005;0.012;OECD Migration Database
AUS;EST;Inflows of foreign population by nationality;Tsd. Persons;2006;0.017;OECD Migration Database
AUS;EST;Inflows of foreign population by nationality;Tsd. Persons;2007;0.028;OECD Migration Database
AUS;EST;Inflows of foreign population by nationality;Tsd. Persons;2008;0.03;OECD Migration Database
AUS;EST;Inflows of foreign population by nationality;Tsd. Persons;2009;0.038;OECD Migration Database
AUS;EST;Inflows of foreign population by nationality;Tsd. Persons;2010;0.054;OECD Migration Database
AUS;EST;Inflows of foreign population by nationality;Tsd. Persons;2011;0.069;OECD Migration Database
AUS;FIN;Inflows of foreign population by nationality;Tsd. Persons;2000;0.055;OECD Migration Database
AUS;FIN;Inflows of foreign population by nationality;Tsd. Persons;2001;0.08;OECD Migration Database
AUS;FIN;Inflows of foreign population by nationality;Tsd. Persons;2002;0.073;OECD Migration Database
AUS;FIN;Inflows of foreign population by nationality;Tsd. Persons;2003;0.062;OECD Migration Database
AUS;FIN;Inflows of foreign population by nationality;Tsd. Persons;2004;0.086;OECD Migration Database
AUS;FIN;Inflows of foreign population by nationality;Tsd. Persons;2005;0.103;OECD Migration Database
AUS;FIN;Inflows of foreign population by nationality;Tsd. Persons;2006;0.113;OECD Migration Database
AUS;FIN;Inflows of foreign population by nationality;Tsd. Persons;2007;0.11;OECD Migration Database
AUS;FIN;Inflows of foreign population by nationality;Tsd. Persons;2008;0.133;OECD Migration Database
AUS;FIN;Inflows of foreign population by nationality;Tsd. Persons;2009;0.122;OECD Migration Database
AUS;FIN;Inflows of foreign population by nationality;Tsd. Persons;2010;0.136;OECD Migration Database
AUS;FIN;Inflows of foreign population by nationality;Tsd. Persons;2011;0.129;OECD Migration Database
AUS;FRA;Inflows of foreign population by nationality;Tsd. Persons;2000;0.438;OECD Migration Database
AUS;FRA;Inflows of foreign population by nationality;Tsd. Persons;2001;0.527;OECD Migration Database
AUS;FRA;Inflows of foreign population by nationality;Tsd. Persons;2002;0.629;OECD Migration Database
AUS;FRA;Inflows of foreign population by nationality;Tsd. Persons;2003;0.635;OECD Migration Database
AUS;FRA;Inflows of foreign population by nationality;Tsd. Persons;2004;0.698;OECD Migration Database
AUS;FRA;Inflows of foreign population by nationality;Tsd. Persons;2005;0.691;OECD Migration Database
AUS;FRA;Inflows of foreign population by nationality;Tsd. Persons;2006;0.742;OECD Migration Database
AUS;FRA;Inflows of foreign population by nationality;Tsd. Persons;2007;0.785;OECD Migration Database
AUS;FRA;Inflows of foreign population by nationality;Tsd. Persons;2008;0.848;OECD Migration Database
AUS;FRA;Inflows of foreign population by nationality;Tsd. Persons;2009;1.042;OECD Migration Database
AUS;FRA;Inflows of foreign population by nationality;Tsd. Persons;2010;1.167;OECD Migration Database
AUS;FRA;Inflows of foreign population by nationality;Tsd. Persons;2011;1.241;OECD Migration Database
AUS;DEU;Inflows of foreign population by nationality;Tsd. Persons;2000;0.955;OECD Migration Database
AUS;DEU;Inflows of foreign population by nationality;Tsd. Persons;2001;1.075;OECD Migration Database
AUS;DEU;Inflows of foreign population by nationality;Tsd. Persons;2002;1.163;OECD Migration Database
AUS;DEU;Inflows of foreign population by nationality;Tsd. Persons;2003;1.224;OECD Migration Database
AUS;DEU;Inflows of foreign population by nationality;Tsd. Persons;2004;1.345;OECD Migration Database
AUS;DEU;Inflows of foreign population by nationality;Tsd. Persons;2005;1.422;OECD Migration Database
AUS;DEU;Inflows of foreign population by nationality;Tsd. Persons;2006;1.537;OECD Migration Database
AUS;DEU;Inflows of foreign population by nationality;Tsd. Persons;2007;1.674;OECD Migration Database
AUS;DEU;Inflows of foreign population by nationality;Tsd. Persons;2008;1.758;OECD Migration Database
AUS;DEU;Inflows of foreign population by nationality;Tsd. Persons;2009;2.063;OECD Migration Database
AUS;DEU;Inflows of foreign population by nationality;Tsd. Persons;2010;2.041;OECD Migration Database
AUS;DEU;Inflows of foreign population by nationality;Tsd. Persons;2011;1.745;OECD Migration Database
AUS;GRC;Inflows of foreign population by nationality;Tsd. Persons;2000;0.125;OECD Migration Database
AUS;GRC;Inflows of foreign population by nationality;Tsd. Persons;2001;0.17;OECD Migration Database
AUS;GRC;Inflows of foreign population by nationality;Tsd. Persons;2002;0.178;OECD Migration Database
AUS;GRC;Inflows of foreign population by nationality;Tsd. Persons;2003;0.137;OECD Migration Database
AUS;GRC;Inflows of foreign population by nationality;Tsd. Persons;2004;0.146;OECD Migration Database
AUS;GRC;Inflows of foreign population by nationality;Tsd. Persons;2005;0.123;OECD Migration Database
AUS;GRC;Inflows of foreign population by nationality;Tsd. Persons;2006;0.138;OECD Migration Database
AUS;GRC;Inflows of foreign population by nationality;Tsd. Persons;2007;0.124;OECD Migration Database
AUS;GRC;Inflows of foreign population by nationality;Tsd. Persons;2008;0.123;OECD Migration Database
AUS;GRC;Inflows of foreign population by nationality;Tsd. Persons;2009;0.148;OECD Migration Database
AUS;GRC;Inflows of foreign population by nationality;Tsd. Persons;2010;0.123;OECD Migration Database
AUS;GRC;Inflows of foreign population by nationality;Tsd. Persons;2011;0.124;OECD Migration Database
AUS;HUN;Inflows of foreign population by nationality;Tsd. Persons;2000;0.093;OECD Migration Database
AUS;HUN;Inflows of foreign population by nationality;Tsd. Persons;2001;0.109;OECD Migration Database
AUS;HUN;Inflows of foreign population by nationality;Tsd. Persons;2002;0.122;OECD Migration Database
AUS;HUN;Inflows of foreign population by nationality;Tsd. Persons;2003;0.13;OECD Migration Database
AUS;HUN;Inflows of foreign population by nationality;Tsd. Persons;2004;0.129;OECD Migration Database
AUS;HUN;Inflows of foreign population by nationality;Tsd. Persons;2005;0.177;OECD Migration Database
AUS;HUN;Inflows of foreign population by nationality;Tsd. Persons;2006;0.154;OECD Migration Database
AUS;HUN;Inflows of foreign population by nationality;Tsd. Persons;2007;0.212;OECD Migration Database
AUS;HUN;Inflows of foreign population by nationality;Tsd. Persons;2008;0.221;OECD Migration Database
AUS;HUN;Inflows of foreign population by nationality;Tsd. Persons;2009;0.249;OECD Migration Database
AUS;HUN;Inflows of foreign population by nationality;Tsd. Persons;2010;0.287;OECD Migration Database
AUS;HUN;Inflows of foreign population by nationality;Tsd. Persons;2011;0.256;OECD Migration Database
AUS;ISL;Inflows of foreign population by nationality;Tsd. Persons;2000;0.008;OECD Migration Database
AUS;ISL;Inflows of foreign population by nationality;Tsd. Persons;2001;0.006;OECD Migration Database
AUS;ISL;Inflows of foreign population by nationality;Tsd. Persons;2002;0.004;OECD Migration Database
AUS;ISL;Inflows of foreign population by nationality;Tsd. Persons;2003;0.008;OECD Migration Database
AUS;ISL;Inflows of foreign population by nationality;Tsd. Persons;2004;0.007;OECD Migration Database
AUS;ISL;Inflows of foreign population by nationality;Tsd. Persons;2005;0.004;OECD Migration Database
AUS;ISL;Inflows of foreign population by nationality;Tsd. Persons;2006;0.005;OECD Migration Database
AUS;ISL;Inflows of foreign population by nationality;Tsd. Persons;2007;0.012;OECD Migration Database
AUS;ISL;Inflows of foreign population by nationality;Tsd. Persons;2008;0.009;OECD Migration Database
AUS;ISL;Inflows of foreign population by nationality;Tsd. Persons;2009;0.017;OECD Migration Database
AUS;ISL;Inflows of foreign population by nationality;Tsd. Persons;2010;0.01;OECD Migration Database
AUS;ISL;Inflows of foreign population by nationality;Tsd. Persons;2011;0.007;OECD Migration Database
AUS;IND;Inflows of foreign population by nationality;Tsd. Persons;2000;4.582;OECD Migration Database
AUS;IND;Inflows of foreign population by nationality;Tsd. Persons;2001;5.812;OECD Migration Database
AUS;IND;Inflows of foreign population by nationality;Tsd. Persons;2002;7.573;OECD Migration Database
AUS;IND;Inflows of foreign population by nationality;Tsd. Persons;2003;8.194;OECD Migration Database
AUS;IND;Inflows of foreign population by nationality;Tsd. Persons;2004;11.278;OECD Migration Database
AUS;IND;Inflows of foreign population by nationality;Tsd. Persons;2005;12.788;OECD Migration Database
AUS;IND;Inflows of foreign population by nationality;Tsd. Persons;2006;15.24;OECD Migration Database
AUS;IND;Inflows of foreign population by nationality;Tsd. Persons;2007;19.823;OECD Migration Database
AUS;IND;Inflows of foreign population by nationality;Tsd. Persons;2008;22.725;OECD Migration Database
AUS;IND;Inflows of foreign population by nationality;Tsd. Persons;2009;25.309;OECD Migration Database
AUS;IND;Inflows of foreign population by nationality;Tsd. Persons;2010;23.512;OECD Migration Database
AUS;IND;Inflows of foreign population by nationality;Tsd. Persons;2011;21.878;OECD Migration Database
AUS;IRL;Inflows of foreign population by nationality;Tsd. Persons;2000;1.018;OECD Migration Database
AUS;IRL;Inflows of foreign population by nationality;Tsd. Persons;2001;1.092;OECD Migration Database
AUS;IRL;Inflows of foreign population by nationality;Tsd. Persons;2002;1.037;OECD Migration Database
AUS;IRL;Inflows of foreign population by nationality;Tsd. Persons;2003;1.212;OECD Migration Database
AUS;IRL;Inflows of foreign population by nationality;Tsd. Persons;2004;1.621;OECD Migration Database
AUS;IRL;Inflows of foreign population by nationality;Tsd. Persons;2005;1.621;OECD Migration Database
AUS;IRL;Inflows of foreign population by nationality;Tsd. Persons;2006;1.766;OECD Migration Database
AUS;IRL;Inflows of foreign population by nationality;Tsd. Persons;2007;1.873;OECD Migration Database
AUS;IRL;Inflows of foreign population by nationality;Tsd. Persons;2008;2.034;OECD Migration Database
AUS;IRL;Inflows of foreign population by nationality;Tsd. Persons;2009;2.663;OECD Migration Database
AUS;IRL;Inflows of foreign population by nationality;Tsd. Persons;2010;3.031;OECD Migration Database
AUS;IRL;Inflows of foreign population by nationality;Tsd. Persons;2011;3.352;OECD Migration Database
AUS;ISR;Inflows of foreign population by nationality;Tsd. Persons;2000;0.213;OECD Migration Database
AUS;ISR;Inflows of foreign population by nationality;Tsd. Persons;2001;0.228;OECD Migration Database
AUS;ISR;Inflows of foreign population by nationality;Tsd. Persons;2002;0.337;OECD Migration Database
AUS;ISR;Inflows of foreign population by nationality;Tsd. Persons;2003;0.433;OECD Migration Database
AUS;ISR;Inflows of foreign population by nationality;Tsd. Persons;2004;0.54;OECD Migration Database
AUS;ISR;Inflows of foreign population by nationality;Tsd. Persons;2005;0.636;OECD Migration Database
AUS;ISR;Inflows of foreign population by nationality;Tsd. Persons;2006;0.524;OECD Migration Database
AUS;ISR;Inflows of foreign population by nationality;Tsd. Persons;2007;0.516;OECD Migration Database
AUS;ISR;Inflows of foreign population by nationality;Tsd. Persons;2008;0.502;OECD Migration Database
AUS;ISR;Inflows of foreign population by nationality;Tsd. Persons;2009;0.54;OECD Migration Database
AUS;ISR;Inflows of foreign population by nationality;Tsd. Persons;2010;0.523;OECD Migration Database
AUS;ISR;Inflows of foreign population by nationality;Tsd. Persons;2011;0.413;OECD Migration Database
AUS;ITA;Inflows of foreign population by nationality;Tsd. Persons;2000;0.299;OECD Migration Database
AUS;ITA;Inflows of foreign population by nationality;Tsd. Persons;2001;0.4;OECD Migration Database
AUS;ITA;Inflows of foreign population by nationality;Tsd. Persons;2002;0.586;OECD Migration Database
AUS;ITA;Inflows of foreign population by nationality;Tsd. Persons;2003;0.393;OECD Migration Database
AUS;ITA;Inflows of foreign population by nationality;Tsd. Persons;2004;0.494;OECD Migration Database
AUS;ITA;Inflows of foreign population by nationality;Tsd. Persons;2005;0.493;OECD Migration Database
AUS;ITA;Inflows of foreign population by nationality;Tsd. Persons;2006;0.48;OECD Migration Database
AUS;ITA;Inflows of foreign population by nationality;Tsd. Persons;2007;0.518;OECD Migration Database
AUS;ITA;Inflows of foreign population by nationality;Tsd. Persons;2008;0.591;OECD Migration Database
AUS;ITA;Inflows of foreign population by nationality;Tsd. Persons;2009;0.708;OECD Migration Database
AUS;ITA;Inflows of foreign population by nationality;Tsd. Persons;2010;0.702;OECD Migration Database
AUS;ITA;Inflows of foreign population by nationality;Tsd. Persons;2011;0.789;OECD Migration Database
AUS;JPN;Inflows of foreign population by nationality;Tsd. Persons;2000;0.936;OECD Migration Database
AUS;JPN;Inflows of foreign population by nationality;Tsd. Persons;2001;1.22;OECD Migration Database
AUS;JPN;Inflows of foreign population by nationality;Tsd. Persons;2002;1.369;OECD Migration Database
AUS;JPN;Inflows of foreign population by nationality;Tsd. Persons;2003;1.357;OECD Migration Database
AUS;JPN;Inflows of foreign population by nationality;Tsd. Persons;2004;1.613;OECD Migration Database
AUS;JPN;Inflows of foreign population by nationality;Tsd. Persons;2005;1.818;OECD Migration Database
AUS;JPN;Inflows of foreign population by nationality;Tsd. Persons;2006;1.954;OECD Migration Database
AUS;JPN;Inflows of foreign population by nationality;Tsd. Persons;2007;2.126;OECD Migration Database
AUS;JPN;Inflows of foreign population by nationality;Tsd. Persons;2008;1.935;OECD Migration Database
AUS;JPN;Inflows of foreign population by nationality;Tsd. Persons;2009;1.956;OECD Migration Database
AUS;JPN;Inflows of foreign population by nationality;Tsd. Persons;2010;1.636;OECD Migration Database
AUS;JPN;Inflows of foreign population by nationality;Tsd. Persons;2011;1.472;OECD Migration Database
AUS;KOR;Inflows of foreign population by nationality;Tsd. Persons;2000;0.845;OECD Migration Database
AUS;KOR;Inflows of foreign population by nationality;Tsd. Persons;2001;1.495;OECD Migration Database
AUS;KOR;Inflows of foreign population by nationality;Tsd. Persons;2002;1.978;OECD Migration Database
AUS;KOR;Inflows of foreign population by nationality;Tsd. Persons;2003;2.3;OECD Migration Database
AUS;KOR;Inflows of foreign population by nationality;Tsd. Persons;2004;2.759;OECD Migration Database
AUS;KOR;Inflows of foreign population by nationality;Tsd. Persons;2005;3.527;OECD Migration Database
AUS;KOR;Inflows of foreign population by nationality;Tsd. Persons;2006;4.011;OECD Migration Database
AUS;KOR;Inflows of foreign population by nationality;Tsd. Persons;2007;4.232;OECD Migration Database
AUS;KOR;Inflows of foreign population by nationality;Tsd. Persons;2008;5.036;OECD Migration Database
